Keys
biomass_per_flux_for_reaction_ASPt2pp_copy1
biomass_per_flux_for_reaction_FRD2
biomass_per_flux_for_reaction_FRD3
biomass_per_flux_for_reaction_GLCP2
biomass_per_flux_for_reaction_GLCS1
biomass_per_flux_for_reaction_GLDBRAN2
biomass_per_flux_for_reaction_GLGC
biomass_per_flux_for_reaction_GLYCLTt4pp
biomass_per_flux_for_reaction_HACD8i
biomass_per_flux_for_reaction_HPYRRx
biomass_per_flux_for_reaction_SERt4pp
biomass_per_flux_for_reaction_ALATA_L_neg_flux
biomass_per_flux_for_reaction_FDH5pp_neg_flux
biomass_per_flux_for_reaction_NTPTP1_neg_flux
biomass_per_flux_for_reaction_UPPRT_neg_flux
